Architecture,Workers,Époque,Exactitude (/10000),Perte moyenne,Temps moyen (s)
AR,1,1,9735,0.0881,100.08
AR,1,2,9841,0.0464,100.08
AR,1,3,9886,0.0365,100.08
PS,1,1,9766,0.0737,103.6
PS,1,2,9847,0.0456,103.6
PS,1,3,9868,0.0364,103.6
P2P,1,1,9733,0.0835,98.47
P2P,1,2,9857,0.0447,98.47
P2P,1,3,9878,0.0361,98.47
AR,2,1,9446,0.1928,65.8
AR,2,2,9620,0.1177,65.8
AR,2,3,9705,0.0959,65.8
PS,2,1,9351,0.2127,66.37
PS,2,2,9662,0.1068,66.37
PS,2,3,9777,0.0729,66.37
P2P,2,1,9448,0.1733,61.93
P2P,2,2,9653,0.1075,61.93
P2P,2,3,9727,0.0873,61.93
AR,3,1,9293,0.226,53.27
AR,3,2,9556,0.1501,53.27
AR,3,3,9631,0.1263,53.27
PS,3,1,9201,0.2607,54.55
PS,3,2,9485,0.1685,54.55
PS,3,3,9642,0.1151,54.55
P2P,3,1,9361,0.2064,49.41
P2P,3,2,9570,0.1346,49.41
P2P,3,3,9643,0.1106,49.41
AR,4,1,8964,0.3123,48.81
AR,4,2,9451,0.1746,48.81
AR,4,3,9550,0.1449,48.81
PS,4,1,9026,0.3128,48.29
PS,4,2,9379,0.2001,48.29
PS,4,3,9482,0.1653,48.29
P2P,4,1,9161,0.2544,53.44
P2P,4,2,9513,0.1543,53.44
P2P,4,3,9548,0.1427,53.44
AR,5,1,9072,0.3111,46.44
AR,5,2,9416,0.1963,46.44
AR,5,3,9437,0.181,46.44
PS,5,1,9060,0.3185,47.02
PS,5,2,9268,0.2308,47.02
PS,5,3,9508,0.1629,47.02
P2P,5,1,9370,0.2133,56.08
P2P,5,2,9550,0.1531,56.08
P2P,5,3,9610,0.1317,56.08
AR,6,1,8550,0.4466,45.68
AR,6,2,9276,0.2326,45.68
AR,6,3,9399,0.1849,45.68
PS,6,1,8769,0.3975,46.99
PS,6,2,9270,0.2379,46.99
PS,6,3,9439,0.1773,46.99
P2P,6,1,9198,0.2628,59.47
P2P,6,2,9461,0.1735,59.47
P2P,6,3,9479,0.1615,59.47
AR,7,1,8632,0.4356,44.23
AR,7,2,9266,0.2403,44.23
AR,7,3,9418,0.1944,44.23
PS,7,1,8666,0.4062,44.99
PS,7,2,9172,0.2745,44.99
PS,7,3,9321,0.2153,44.99
P2P,7,1,8999,0.3133,66.36
P2P,7,2,9339,0.2015,66.36
P2P,7,3,9484,0.1653,66.36
